Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
229,1800.0,2,1,2,2009,1,0,0,726708.0,16
230,4487.0,4,3,2,1968,2,2,1,215368.0,57
231,2027.0,3,3,1,1957,3,2,1,544496.0,68
232,1718.0,4,4,3,2005,1,0,0,69455.0,20
233,4996.0,2,1,3,1943,3,1,1,784184.0,82
234,3604.0,2,2,3,1973,0,1,1,515139.0,52
235,3235.0,1,1,2,1955,3,3,1,281897.0,70
236,1454.0,5,3,2,1942,0,3,1,482509.0,83
237,3946.0,4,3,2,1988,3,1,0,542646.0,37
238,1545.0,1,3,1,1933,0,1,0,662840.0,92
239,2193.0,5,1,2,2000,2,0,0,882548.0,25
240,3936.0,4,4,1,1929,3,2,0,432605.0,96
241,1062.0,3,3,1,1970,0,2,0,614772.0,55
242,2985.0,4,3,3,1969,3,3,1,997719.0,56
243,3854.0,2,1,3,2017,1,1,1,393782.0,8
244,725.0,2,2,3,1954,2,0,1,708764.0,71
245,1459.0,3,2,1,1966,0,3,1,218332.0,59
246,3567.0,1,4,1,1912,1,0,0,150647.0,113
247,1315.0,5,4,1,1902,3,1,0,639930.0,123
248,3620.0,4,3,2,1925,1,1,1,786091.0,100
249,516.0,2,1,1,1956,3,1,0,882441.0,69
250,1743.0,1,3,3,1923,2,2,1,178824.0,102
251,2705.0,3,4,3,1952,1,1,1,823202.0,73
252,3024.0,2,1,1,1969,2,3,0,866037.0,56
253,1569.0,3,1,1,1942,0,2,0,685167.0,83
254,3944.0,4,4,3,1959,3,0,0,695115.0,66
255,3065.0,5,2,1,1957,3,3,0,317724.0,68
256,1560.0,2,2,3,1948,2,3,0,951334.0,77
257,2827.0,2,1,2,1941,2,0,0,317544.0,84
258,3920.0,4,3,3,1975,0,2,0,745003.0,50
259,801.0,1,2,2,2012,1,3,1,801545.0,13
260,4776.0,5,3,1,1999,3,3,0,932464.0,26
261,1106.0,2,2,1,1965,3,3,1,177319.0,60
262,3670.0,5,2,2,1910,0,2,1,562193.0,115
263,1199.0,2,3,1,2002,0,2,0,529389.0,23
264,1639.0,5,4,2,1997,2,2,1,156960.0,28
265,690.0,3,2,1,1989,2,3,0,89015.0,36
266,2800.0,2,2,3,1917,1,1,1,383857.0,108
267,1480.0,5,3,1,1984,0,0,1,778165.0,41
268,3475.0,1,4,3,1999,1,1,1,982478.0,26
269,1684.0,3,2,3,2003,0,2,0,195109.0,22
270,3827.0,3,2,2,1951,3,3,1,527508.0,74
271,3894.0,1,4,1,1945,0,3,1,836351.0,80
272,627.0,5,2,2,1943,0,1,1,983671.0,82
273,2565.0,4,4,1,1921,3,1,0,138754.0,104
274,2316.0,1,4,3,1952,0,0,1,271775.0,73
275,1069.0,5,3,3,1958,1,3,0,355292.0,67
276,2395.0,1,1,1,1993,2,1,1,777513.0,32
277,3233.0,1,4,1,2013,2,0,1,726894.0,12
278,4363.0,2,3,2,2006,1,2,1,796355.0,19
279,4514.0,5,1,1,2023,3,1,0,959222.0,2
280,3401.0,4,2,1,1929,0,2,1,922510.0,96
281,2186.0,2,1,1,1907,1,0,1,106879.0,118
282,3509.0,1,4,2,1997,2,2,1,169894.0,28
283,654.0,1,4,1,1956,2,3,1,640127.0,69
284,3037.0,1,4,3,2010,1,3,0,79756.0,15
285,1909.0,5,4,2,1972,2,2,1,718043.0,53
286,4557.0,5,4,2,2014,1,3,1,230557.0,11
287,1284.0,2,3,3,1919,2,0,1,279303.0,106
288,3675.0,4,4,3,2003,1,3,1,454241.0,22
289,4841.0,2,3,3,1924,0,2,0,724075.0,101
290,3306.0,3,2,1,1918,0,2,1,541599.0,107
291,1037.0,1,4,3,1904,0,2,1,545283.0,121
292,2341.0,1,4,1,1974,0,1,0,667231.0,51
293,2955.0,1,1,2,1978,2,2,1,792476.0,47
294,1024.0,2,2,2,1971,3,0,1,198188.0,54
295,3450.0,2,4,3,1982,1,3,1,611032.0,43
296,4631.0,1,4,1,1986,3,3,0,174697.0,39
297,4615.0,2,2,3,1926,2,1,1,530795.0,99
298,2868.0,5,3,3,1939,2,1,0,690360.0,86
299,4347.0,5,4,1,1995,3,0,0,445340.0,30
300,4995.0,2,1,3,1925,3,2,0,286028.0,100
301,3201.0,1,4,2,1926,2,1,0,743411.0,99
302,1471.0,2,1,3,1961,2,3,0,57176.0,64
303,1666.0,2,1,1,1982,1,1,0,927742.0,43
304,3274.0,2,4,1,1949,0,1,0,826653.0,76
305,2482.0,3,4,2,1941,0,2,1,508034.0,84
306,1353.0,5,1,1,1928,1,1,1,563611.0,97
307,4646.0,4,2,1,1938,3,0,0,199748.0,87
308,4236.0,4,2,2,1959,2,3,0,95177.0,66
309,4269.0,3,4,3,1940,3,2,0,533512.0,85
310,1074.0,2,3,2,1932,0,3,0,160623.0,93
311,3761.0,3,2,3,1982,0,0,0,575285.0,43
312,1648.0,3,4,2,2000,3,0,0,502546.0,25
313,2215.0,1,2,3,1982,0,1,1,546184.0,43
314,4354.0,5,3,2,1996,2,1,1,694467.0,29
315,2991.0,4,4,3,2010,1,1,0,297439.0,15
316,3160.0,2,3,2,1915,3,3,0,694691.0,110
317,3624.0,4,4,3,1922,2,0,0,978735.0,103
318,3551.0,4,3,2,1906,2,2,1,145287.0,119
319,504.0,5,2,1,1925,0,1,0,169574.0,100
320,1376.0,4,2,3,1995,2,3,1,830751.0,30
321,1491.0,4,3,2,1911,3,1,1,171509.0,114
322,4642.0,3,3,3,1971,2,0,1,397591.0,54
323,4864.0,5,3,3,1904,1,2,0,945954.0,121
324,4965.0,1,4,2,2005,2,0,0,499181.0,20
325,1135.0,2,2,3,1991,2,3,1,393288.0,34
326,2193.0,4,4,2,2016,1,1,1,822793.0,9
327,2182.0,2,2,1,1968,2,0,1,242589.0,57
328,619.0,1,1,3,1948,2,3,1,929125.0,77
329,1330.0,2,4,1,1925,0,1,0,406459.0,100
330,4175.0,1,2,3,1904,3,2,1,538720.0,121
331,1869.0,3,2,3,1921,0,0,0,863819.0,104
332,1240.0,4,4,3,1978,3,1,1,54090.0,47
333,616.0,1,4,2,1912,1,1,0,957278.0,113
334,3338.0,2,2,1,1927,1,1,1,468161.0,98
335,1650.0,4,4,3,1932,1,1,0,876671.0,93
336,2431.0,3,3,2,2006,3,0,0,53743.0,19
337,1512.0,4,4,3,1922,3,1,0,80924.0,103
338,2164.0,1,4,2,1996,3,3,1,191268.0,29
339,1581.0,3,4,3,2006,1,0,0,966592.0,19
340,1012.0,2,2,1,1917,3,1,1,928247.0,108
341,3349.0,3,3,1,2013,2,0,0,679600.0,12
342,1059.0,3,1,3,2016,0,3,0,381004.0,9
343,4172.0,5,1,2,1929,1,3,1,790537.0,96
344,3843.0,3,3,3,1925,0,0,0,798378.0,100
345,4570.0,3,3,2,1915,2,1,0,279602.0,110
346,1970.0,4,3,3,1976,3,1,1,392543.0,49
347,1080.0,2,2,2,1938,0,3,0,885227.0,87
348,2794.0,4,1,1,1932,2,1,0,887985.0,93
349,3647.0,4,3,3,1925,2,3,0,558928.0,100
350,4749.0,1,2,1,1947,0,1,0,153976.0,78
351,2179.0,4,1,1,1964,1,3,1,205183.0,61
352,4006.0,5,4,3,2012,0,2,0,687854.0,13
353,3244.0,5,2,3,1937,1,1,0,307443.0,88
354,3856.0,1,1,2,1901,3,1,0,694256.0,124
355,4545.0,2,2,2,2012,1,1,0,111600.0,13
356,1743.0,2,1,1,1905,3,0,0,624310.0,120
357,3618.0,4,1,2,1945,0,1,0,708559.0,80
358,2641.0,4,4,2,1949,3,0,0,887329.0,76
359,3559.0,4,2,3,1937,2,0,0,874470.0,88
360,3459.0,2,3,2,2005,3,3,1,173323.0,20
361,2765.0,3,4,1,1987,1,0,1,236110.0,38
362,2979.0,5,4,2,1917,1,0,1,694566.0,108
363,2135.0,3,1,1,1926,1,2,1,947486.0,99
364,2257.0,3,3,3,1940,3,1,0,320041.0,85
365,4952.0,2,2,1,1971,1,0,0,638829.0,54
366,2570.0,3,3,2,1991,1,1,1,156968.0,34
367,3349.0,1,3,3,1973,2,0,1,589180.0,52
368,3751.0,4,3,2,1916,3,3,1,975775.0,109
369,4230.0,1,3,3,2018,2,2,0,74815.0,7
370,2989.0,5,3,3,1961,1,0,0,882044.0,64
371,2131.0,4,1,2,1928,1,1,1,476573.0,97
372,3316.0,3,1,2,1957,1,3,1,518304.0,68
373,1515.0,5,4,3,1969,3,1,1,852699.0,56
374,1848.0,4,1,3,1977,0,3,1,854700.0,48
375,3587.0,3,4,2,1921,1,2,1,688751.0,104
376,3339.0,1,4,1,2017,1,3,0,981767.0,8
377,835.0,4,2,2,1905,1,1,1,514151.0,120
378,1395.0,3,3,3,1925,1,1,0,931779.0,100
379,4046.0,1,1,2,1938,3,0,1,240732.0,87
380,1351.0,5,2,1,1911,0,3,1,246599.0,114
381,2187.0,5,1,2,1998,0,1,0,244451.0,27
382,2431.0,5,4,3,1913,0,0,1,406686.0,112
383,4246.0,5,1,2,1921,1,2,0,746631.0,104
384,2927.0,2,3,3,1950,1,1,0,378756.0,75
385,2068.0,4,4,3,1922,0,0,1,188307.0,103
386,4500.0,4,4,2,1947,0,1,1,138757.0,78
387,3238.0,2,2,3,1970,1,3,0,459633.0,55
388,3998.0,3,3,3,2003,1,0,0,934507.0,22
389,4413.0,3,4,1,1949,2,3,1,346753.0,76
390,1566.0,5,3,1,1988,2,2,0,939217.0,37
391,4880.0,1,1,1,1912,2,3,1,304200.0,113
392,2944.0,3,3,1,1984,0,0,0,597933.0,41
393,4607.0,1,4,3,2004,3,1,1,506089.0,21
394,3873.0,4,2,2,1909,1,0,0,769918.0,116
395,4469.0,1,4,3,2016,2,3,0,374377.0,9
396,3046.0,4,3,3,1954,3,3,1,423587.0,71
397,1253.0,2,3,3,2022,1,1,0,204473.0,3
398,2582.0,2,4,2,1908,3,2,0,844203.0,117
399,3274.0,5,3,1,1978,0,0,0,517667.0,47
400,3396.0,3,1,3,1951,0,1,0,522650.0,74
401,4685.0,5,4,3,1901,0,1,0,510665.0,124
402,1275.0,4,2,1,1924,2,1,0,414745.0,101
403,2125.0,5,4,3,1912,1,0,0,535820.0,113
404,3569.0,1,1,2,1997,0,0,1,445158.0,28
405,917.0,4,1,3,1950,2,0,0,725748.0,75
406,614.0,2,1,3,1957,2,2,0,961656.0,68
407,1116.0,3,1,1,1933,2,1,1,657539.0,92
408,4474.0,4,1,3,1934,2,3,0,631330.0,91
409,3767.0,4,2,3,2001,0,3,0,890172.0,24
410,1325.0,1,3,2,1902,2,1,1,246945.0,123
411,2016.0,3,1,1,2005,0,3,0,621312.0,20
412,3646.0,2,1,1,2019,0,2,0,728810.0,6
413,912.0,4,4,2,1958,2,2,1,631253.0,67
414,1228.0,4,2,3,1969,0,0,1,322201.0,56
415,3848.0,1,2,1,2018,1,0,0,798609.0,7
416,3308.0,5,3,1,1947,1,0,0,845415.0,78
417,1175.0,2,2,3,1963,3,0,1,442613.0,62
418,3965.0,3,4,3,2012,1,0,0,594283.0,13
419,3004.0,4,4,1,1918,0,3,1,164587.0,107
420,3467.0,4,3,3,1966,0,3,1,283076.0,59
421,3286.0,2,4,1,1981,1,0,1,796988.0,44
422,1622.0,5,1,3,2002,2,2,0,520897.0,23
423,4579.0,4,1,3,1972,2,3,1,88886.0,53
424,2071.0,2,4,2,2015,0,2,1,401169.0,10
425,2643.0,1,3,3,1975,2,2,1,539788.0,50
426,2187.0,5,2,2,1904,3,1,0,145149.0,121
427,4632.0,3,3,3,1966,3,1,0,668308.0,59
428,4351.0,4,2,1,1910,1,0,0,576961.0,115
429,3940.0,2,4,1,2020,1,2,1,913945.0,5
430,4266.0,1,4,3,1993,2,3,0,73466.0,32
431,2826.0,3,1,3,1967,0,1,0,287626.0,58
432,3414.0,2,2,1,1968,1,1,1,928977.0,57
433,4452.0,2,3,3,1900,3,2,1,559966.0,125
434,1095.0,3,4,2,1990,1,1,0,624694.0,35
435,1228.0,1,3,2,1991,1,1,0,446904.0,34
436,1865.0,1,1,2,1962,3,3,1,643572.0,63
437,4992.0,5,2,2,1928,0,2,0,810006.0,97
438,1198.0,4,2,2,1981,1,1,1,951011.0,44
439,895.0,3,4,3,1911,1,2,1,587953.0,114
440,4671.0,3,2,3,1976,1,1,0,594929.0,49
441,4860.0,3,4,2,1940,2,3,0,475716.0,85
442,3002.0,1,1,3,1901,1,2,0,610085.0,124
443,2319.0,4,2,3,1936,3,1,0,790126.0,89
444,1217.0,5,4,2,1944,0,3,1,358094.0,81
445,3282.0,2,3,3,1979,0,1,0,992550.0,46
446,4077.0,2,4,3,1947,3,2,0,965986.0,78
447,643.0,3,2,3,1923,2,1,0,676627.0,102
448,3640.0,4,1,2,1998,3,2,1,687719.0,27
449,4991.0,1,2,3,1921,0,2,0,282275.0,104
450,3438.0,4,2,1,1999,3,1,0,452854.0,26
451,4136.0,4,4,1,1910,2,3,1,857605.0,115
452,3722.0,1,3,2,2018,0,0,1,718582.0,7
453,1667.0,3,2,1,1957,2,3,1,231136.0,68
454,3116.0,4,3,2,1945,3,3,1,218082.0,80
455,1562.0,2,4,1,1928,1,1,1,303301.0,97
456,2656.0,1,3,1,1934,3,3,0,592383.0,91
457,3482.0,5,4,1,2011,2,3,1,173554.0,14
458,3794.0,3,1,2,2017,3,0,1,444655.0,8
459,1656.0,1,3,2,1914,1,3,1,962046.0,111
460,1232.0,5,3,3,1959,2,0,1,809277.0,66
461,4830.0,5,1,2,1994,3,1,1,528766.0,31
462,1453.0,4,3,1,1941,2,0,1,972879.0,84
463,3039.0,4,1,1,2004,2,2,1,663311.0,21
464,3824.0,4,2,2,1942,0,2,1,681469.0,83
465,3801.0,1,4,2,1979,0,0,0,272310.0,46
466,2042.0,1,1,2,1973,2,2,0,857032.0,52
467,1691.0,3,3,3,1948,3,1,0,838898.0,77
468,3493.0,4,1,1,1963,3,2,1,830637.0,62
469,3181.0,5,3,3,1931,3,0,1,549344.0,94
470,1717.0,2,2,3,1963,1,1,1,750457.0,62
471,2040.0,3,1,1,2014,2,2,0,946366.0,11
472,3736.0,1,2,1,1901,2,1,1,627564.0,124
473,2886.0,3,4,2,1923,1,0,1,493333.0,102
474,4219.0,3,3,2,1986,2,2,1,490187.0,39
475,1888.0,3,3,3,1965,2,1,0,319072.0,60
476,2356.0,3,2,2,1937,1,1,0,891741.0,88
477,1865.0,2,4,2,1930,0,2,1,255719.0,95
478,999.0,4,1,1,2014,2,1,0,746248.0,11
479,2180.0,5,1,1,2003,1,1,1,800385.0,22
480,1010.0,3,3,2,1925,3,0,1,749192.0,100
